LEFT,RIGHT
-0.000037, -0.000050
-0.000073, -0.000100
-0.003109, -0.000150
-0.004143, -0.000200
-0.004178, -0.000250
-0.005212, -0.000300
-0.006245, -0.000350
-0.007278, 0.000600
-0.007311, 0.000550
-0.008343, -0.000500
-0.009375, -0.001549
-0.012406, -0.001598
-0.016435, -0.001647
-0.016463, -0.001696
-0.016491, -0.001745
-0.016519, -0.001794
-0.016546, -0.001843
-0.017574, -0.001892
-0.017601, -0.001941
-0.020627, -0.001990
-0.020653, -0.002038
-0.019679, -0.002087
-0.019705, -0.003136
-0.018731, -0.003184
-0.019757, -0.003232
-0.020782, -0.002280
-0.022807, -0.001329
-0.025830, -0.001378
-0.026853, -0.000427
-0.026875, 0.000523
-0.024897, 0.001473
-0.024920, 0.000423
-0.026943, 0.000373
-0.026965, 0.000323
-0.026986, 0.000273
-0.027008, 0.000224
-0.027030, 0.000174
-0.029051, 0.000125
-0.029072, 0.000075
-0.029092, 0.001025
-0.029112, 0.000975
-0.030133, -0.001074
-0.032152, -0.001123
-0.032171, -0.000172
-0.033189, 0.000778
-0.033207, 0.000728
-0.033226, 0.000678
-0.034243, 0.000629
-0.034261, 0.000579
-0.036278, 0.000529
-0.037294, 0.002479
-0.037310, 0.004428
-0.038326, -0.001622
-0.038341, -0.001671
-0.040355, 0.004280
-0.040370, 0.004228
-0.039384, 0.005177
-0.041398, 0.005125
-0.042411, 0.007072
-0.043424, 0.009019
-0.044436, 0.009965
-0.044448, 0.009911
-0.044460, 0.009857
-0.044471, 0.008803
-0.050482, -0.003247
-0.058488, -0.007294
-0.060493, -0.000341
-0.061496, -0.000390
-0.062499, -0.000439
-0.063501, -0.001487
-0.064503, -0.002535
-0.066504, -0.002583
-0.068504, -0.003631
-0.068503, -0.004677
-0.070502, -0.004724
-0.070500, -0.003771
-0.071498, -0.003818
-0.072496, -0.003865
-0.072493, -0.003912
-0.074490, -0.002959
-0.074486, -0.002006
-0.074482, -0.002054
-0.075477, -0.002102
-0.076472, -0.002150
-0.077467, -0.002198
-0.077461, -0.002245
-0.077455, -0.002293
-0.077449, -0.003340
-0.078443, -0.004387
-0.081436, -0.004434
-0.083428, -0.004480
-0.084418, -0.004527
-0.084409, -0.004573
-0.084399, -0.004619
-0.087389, -0.004666
-0.088377, -0.004712
-0.089365, -0.005758
-0.089353, -0.005804
-0.088341, -0.005849
-0.088329, -0.005895
-0.088317, -0.005941
-0.089304, -0.005986
-0.089292, -0.006032
-0.089279, -0.006077
-0.090266, -0.006123
-0.090253, -0.006168
-0.091239, -0.006214
-0.092225, -0.006259
-0.092211, -0.006305
-0.094195, -0.006350
-0.096179, -0.006395
-0.098162, -0.006441
-0.098145, -0.006486
-0.097127, -0.007531
-0.097110, -0.007575
-0.097093, -0.007620
-0.098075, -0.007665
-0.098057, -0.007709
-0.098039, -0.008753
-0.100021, -0.008797
-0.100001, -0.007842
-0.100982, -0.007886
-0.100962, -0.007931
-0.101942, -0.007975
-0.104921, -0.012018
-0.105899, -0.013060
-0.105877, -0.009103
-0.105854, -0.008147
-0.106831, -0.008191
-0.107808, -0.008235
-0.107785, -0.008279
-0.107761, -0.008323
-0.107737, -0.007368
-0.107713, -0.006412
-0.107689, -0.006457
-0.107666, -0.006502
-0.109641, -0.006547
-0.118614, -0.020589
-0.127582, -0.024626
-0.129548, -0.014664
-0.130513, -0.014705
-0.132477, -0.014745
-0.132440, -0.014786
-0.132403, -0.015827
-0.134366, -0.017866
-0.134328, -0.017905
-0.136290, -0.016945
-0.136251, -0.016984
-0.137212, -0.017024
-0.138173, -0.017063
-0.137133, -0.018102
-0.137093, -0.018141
-0.137054, -0.019180
-0.137014, -0.019218
-0.136974, -0.019257
-0.137934, -0.018295
-0.140893, -0.017334
-0.142851, -0.017373
-0.143808, -0.017412
-0.144764, -0.017452
-0.144720, -0.015491
-0.145676, -0.015531
-0.145631, -0.015571
-0.144587, -0.015611
-0.144542, -0.016651
-0.144498, -0.016691
-0.144454, -0.015730
-0.145409, -0.014770
-0.146364, -0.013811
-0.147318, -0.013852
-0.148272, -0.013893
-0.149225, -0.013933
-0.150177, -0.013974
-0.151129, -0.014015
-0.152081, -0.013056
-0.153032, -0.013097
-0.153982, -0.013138
-0.154932, -0.013179
-0.155881, -0.013220
-0.157830, -0.013261
-0.157778, -0.013302
-0.157726, -0.013343
-0.157673, -0.013384
-0.157621, -0.013424
-0.158569, -0.013465
-0.159515, -0.013506
-0.160462, -0.012547
-0.160408, -0.012588
-0.160354, -0.012629
-0.160300, -0.011671
-0.160246, -0.010713
-0.161191, -0.010755
-0.162136, -0.010797
-0.163081, -0.010839
-0.163025, -0.010881
-0.163969, -0.010923
-0.164912, -0.010965
-0.164855, -0.011007
-0.166797, -0.011049
-0.168739, -0.011090
-0.168680, -0.011132
-0.169620, -0.011174
-0.169560, -0.011216
-0.169501, -0.011257
-0.169441, -0.010299
-0.169381, -0.008342
-0.169321, -0.007385
-0.169261, -0.008429
-0.170200, -0.008472
-0.171139, -0.008515
-0.186075, -0.014556
-0.193004, -0.019595
-0.186934, -0.019632
-0.188864, -0.019670
-0.189794, -0.019707
-0.189723, -0.019745
-0.189653, -0.019782
-0.189582, -0.020819
-0.192511, -0.020856
-0.195438, -0.020892
-0.196364, -0.021929
-0.197290, -0.021965
-0.197216, -0.023001
-0.198141, -0.024036
-0.199066, -0.025071
-0.199990, -0.025106
-0.200914, -0.025140
-0.200838, -0.026175
-0.201761, -0.027209
-0.202684, -0.027242
-0.203606, -0.028275
-0.204528, -0.029308
-0.205449, -0.029340
-0.206370, -0.029373
-0.207291, -0.029405
-0.208211, -0.030437
-0.210130, -0.030469
-0.212048, -0.030501
-0.212965, -0.032532
-0.213882, -0.032563
-0.215799, -0.032594
-0.217714, -0.033624
-0.218629, -0.034654
-0.218543, -0.034684
-0.218457, -0.034713
-0.218371, -0.035743
-0.218286, -0.035772
-0.218200, -0.034801
-0.218114, -0.034831
-0.216029, -0.034860
-0.214945, -0.033890
-0.215860, -0.033920
-0.216775, -0.032950
-0.217690, -0.032980
